time,FLOW,TEMP,type,outflow_num
2021-09-04,1.3969,18.3927,outflow,1
2021-09-05,1.3252,18.2594,outflow,1
2021-09-06,1.2575,18.1641,outflow,1
2021-09-07,1.1931,18.1489,outflow,1
2021-09-08,1.132,18.0882,outflow,1
2021-09-09,1.0742,18.0533,outflow,1
2021-09-10,1.0193,17.9401,outflow,1
2021-09-11,0.9673,17.8349,outflow,1
2021-09-12,0.9179,17.8081,outflow,1
2021-09-13,0.8713,17.8459,outflow,1
2021-09-14,0.8269,17.847,outflow,1
2021-09-15,0.7849,17.8443,outflow,1
2021-09-16,0.7451,17.862,outflow,1
2021-09-17,0.708,17.7852,outflow,1
2021-09-18,0.6741,17.8465,outflow,1
2021-09-19,0.6408,17.9087,outflow,1
2021-09-20,0.6085,17.8441,outflow,1
2021-09-21,0.5778,17.8615,outflow,1
2021-09-22,0.5492,17.9404,outflow,1
2021-09-23,0.5217,17.8538,outflow,1
2021-09-24,0.4955,17.5738,outflow,1
2021-09-25,0.4708,17.4689,outflow,1
2021-09-26,0.4481,17.54,outflow,1
2021-09-27,0.4264,17.6557,outflow,1
2021-09-28,0.4053,17.7651,outflow,1
2021-09-29,0.3853,17.7776,outflow,1
2021-09-30,0.3663,17.77,outflow,1
2021-10-01,0.3482,17.5241,outflow,1
2021-10-02,0.3312,17.3486,outflow,1
2021-10-03,0.315,17.207,outflow,1
2021-10-04,0.2997,17.0052,outflow,1
2021-10-05,0.3008,16.9046,outflow,1
2021-10-06,0.3002,16.7684,outflow,1
2021-10-07,0.2921,16.575,outflow,1
2021-10-08,0.2802,16.4253,outflow,1
