date,hour,depth,value,variable
2018-07-06,0,0,29.5854,temperature
2018-07-06,0,1,28.159,temperature
2018-07-06,0,2,24.3664,temperature
2018-07-06,0,3,17.794,temperature
2018-07-06,0,4,13.8686,temperature
2018-07-06,0,5,11.2332,temperature
2018-07-06,0,6,11.1748,temperature
2018-07-06,0,7,11.1662,temperature
2018-07-06,0,8,11.1556,temperature
2018-07-06,0,9,11.1558,temperature
2018-07-07,0,0,29.5087,temperature
2018-07-07,0,1,29.4264,temperature
2018-07-07,0,2,24.0177,temperature
2018-07-07,0,3,18.447,temperature
2018-07-07,0,4,13.5972,temperature
2018-07-07,0,5,11.1875,temperature
2018-07-07,0,6,11.1916,temperature
2018-07-07,0,7,11.1893,temperature
2018-07-07,0,8,11.1745,temperature
2018-07-07,0,9,11.1787,temperature
2018-07-08,0,0,28.7162,temperature
2018-07-08,0,1,27.6778,temperature
2018-07-08,0,2,24.0127,temperature
2018-07-08,0,3,18.4808,temperature
2018-07-08,0,4,13.6392,temperature
2018-07-08,0,5,11.2363,temperature
2018-07-08,0,6,11.2253,temperature
2018-07-08,0,7,11.2267,temperature
2018-07-08,0,8,11.2349,temperature
2018-07-08,0,9,11.2151,temperature
2018-07-09,0,0,28.9047,temperature
2018-07-09,0,1,27.4871,temperature
2018-07-09,0,2,23.7736,temperature
2018-07-09,0,3,18.6401,temperature
2018-07-09,0,4,13.9038,temperature
2018-07-09,0,5,11.287,temperature
2018-07-09,0,6,11.256,temperature
2018-07-09,0,7,11.2524,temperature
2018-07-09,0,8,11.2412,temperature
2018-07-09,0,9,11.2354,temperature
2018-07-10,0,0,29.0641,temperature
2018-07-10,0,1,26.8103,temperature
2018-07-10,0,2,24.5047,temperature
2018-07-10,0,3,18.6665,temperature
2018-07-10,0,4,13.9468,temperature
2018-07-10,0,5,11.3145,temperature
2018-07-10,0,6,11.2907,temperature
2018-07-10,0,7,11.2897,temperature
2018-07-10,0,8,11.2688,temperature
2018-07-10,0,9,11.2641,temperature
2018-07-11,0,0,29.2513,temperature
2018-07-11,0,1,27.3918,temperature
2018-07-11,0,2,24.8528,temperature
2018-07-11,0,3,18.533,temperature
2018-07-11,0,4,13.9962,temperature
2018-07-11,0,5,11.3261,temperature
2018-07-11,0,6,11.3115,temperature
2018-07-11,0,7,11.3083,temperature
2018-07-11,0,8,11.295,temperature
2018-07-11,0,9,11.2968,temperature
2018-07-12,0,0,29.0116,temperature
2018-07-12,0,1,27.2466,temperature
2018-07-12,0,2,25.4156,temperature
2018-07-12,0,3,19.0185,temperature
2018-07-12,0,4,14.0791,temperature
2018-07-12,0,5,11.3575,temperature
2018-07-12,0,6,11.341,temperature
2018-07-12,0,7,11.3432,temperature
2018-07-12,0,8,11.3233,temperature
2018-07-12,0,9,11.3229,temperature
2018-07-13,0,0,29.4619,temperature
2018-07-13,0,1,28.2838,temperature
2018-07-13,0,2,25.4413,temperature
2018-07-13,0,3,18.9952,temperature
2018-07-13,0,4,14.0891,temperature
2018-07-13,0,5,11.412,temperature
2018-07-13,0,6,11.3748,temperature
2018-07-13,0,7,11.3708,temperature
2018-07-13,0,8,11.3515,temperature
2018-07-13,0,9,11.3496,temperature
2018-07-14,0,0,28.3713,temperature
2018-07-14,0,1,27.3687,temperature
2018-07-14,0,2,25.918,temperature
2018-07-14,0,3,19.0176,temperature
2018-07-14,0,4,13.8982,temperature
2018-07-14,0,5,11.4296,temperature
2018-07-14,0,6,11.3931,temperature
2018-07-14,0,7,11.3868,temperature
2018-07-14,0,8,11.3783,temperature
2018-07-14,0,9,11.3757,temperature
2018-07-15,0,0,28.1608,temperature
2018-07-15,0,1,27.3165,temperature
2018-07-15,0,2,25.9396,temperature
2018-07-15,0,3,19.0824,temperature
2018-07-15,0,4,14.0396,temperature
2018-07-15,0,5,11.4924,temperature
2018-07-15,0,6,11.427,temperature
2018-07-15,0,7,11.4209,temperature
2018-07-15,0,8,11.4093,temperature
2018-07-15,0,9,11.4111,temperature
2018-07-16,0,0,29.1472,temperature
2018-07-16,0,1,27.4109,temperature
2018-07-16,0,2,25.8129,temperature
2018-07-16,0,3,19.2927,temperature
2018-07-16,0,4,13.807,temperature
2018-07-16,0,5,11.485,temperature
2018-07-16,0,6,11.4492,temperature
2018-07-16,0,7,11.4456,temperature
2018-07-16,0,8,11.4336,temperature
2018-07-16,0,9,11.4332,temperature
2018-07-17,0,0,28.2605,temperature
2018-07-17,0,1,27.4322,temperature
2018-07-17,0,2,25.9686,temperature
2018-07-17,0,3,19.5929,temperature
2018-07-17,0,4,14.3091,temperature
2018-07-17,0,5,11.5373,temperature
2018-07-17,0,6,11.475,temperature
2018-07-17,0,7,11.4716,temperature
2018-07-17,0,8,11.4624,temperature
2018-07-17,0,9,11.4604,temperature
2018-07-18,0,0,29.4642,temperature
2018-07-18,0,1,27.9919,temperature
2018-07-18,0,2,25.7552,temperature
2018-07-18,0,3,19.3828,temperature
2018-07-18,0,4,14.0712,temperature
2018-07-18,0,5,11.5292,temperature
2018-07-18,0,6,11.5006,temperature
2018-07-18,0,7,11.4953,temperature
2018-07-18,0,8,11.4846,temperature
2018-07-18,0,9,11.4851,temperature
2018-07-19,0,0,29.0025,temperature
2018-07-19,0,1,28.9591,temperature
2018-07-19,0,2,27.3537,temperature
2018-07-19,0,3,19.9447,temperature
2018-07-19,0,4,14.3,temperature
2018-07-19,0,5,11.5461,temperature
2018-07-19,0,6,11.5234,temperature
2018-07-19,0,7,11.5202,temperature
2018-07-19,0,8,11.5104,temperature
2018-07-19,0,9,11.5141,temperature
2018-07-20,0,0,28.0622,temperature
2018-07-20,0,1,26.9243,temperature
2018-07-20,0,2,26.3777,temperature
2018-07-20,0,3,19.8544,temperature
2018-07-20,0,4,14.2464,temperature
2018-07-20,0,5,11.5331,temperature
2018-07-20,0,6,11.548,temperature
2018-07-20,0,7,11.5521,temperature
2018-07-20,0,8,11.5524,temperature
2018-07-20,0,9,11.5546,temperature
2018-07-21,0,0,27.0158,temperature
2018-07-21,0,1,26.6501,temperature
2018-07-21,0,2,26.2503,temperature
2018-07-21,0,3,20.0556,temperature
2018-07-21,0,4,14.0809,temperature
2018-07-21,0,5,11.6148,temperature
2018-07-21,0,6,11.6142,temperature
2018-07-21,0,7,11.6078,temperature
2018-07-21,0,8,11.5927,temperature
2018-07-21,0,9,11.5966,temperature
2018-07-22,0,0,26.9175,temperature
2018-07-22,0,1,26.5733,temperature
2018-07-22,0,2,26.1867,temperature
2018-07-22,0,3,19.9831,temperature
2018-07-22,0,4,14.3002,temperature
2018-07-22,0,5,11.7387,temperature
2018-07-22,0,6,11.6566,temperature
2018-07-22,0,7,11.6534,temperature
2018-07-22,0,8,11.6384,temperature
2018-07-22,0,9,11.6408,temperature
2018-07-23,0,0,26.3729,temperature
2018-07-23,0,1,25.9636,temperature
2018-07-23,0,2,25.3749,temperature
2018-07-23,0,3,20.0583,temperature
2018-07-23,0,4,14.2246,temperature
2018-07-23,0,5,11.7481,temperature
2018-07-23,0,6,11.7096,temperature
2018-07-23,0,7,11.7038,temperature
2018-07-23,0,8,11.6893,temperature
2018-07-23,0,9,11.6884,temperature
2018-07-24,0,0,25.8561,temperature
2018-07-24,0,1,25.3746,temperature
2018-07-24,0,2,25.1183,temperature
2018-07-24,0,3,20.3231,temperature
2018-07-24,0,4,14.3479,temperature
2018-07-24,0,5,11.7769,temperature
2018-07-24,0,6,11.7429,temperature
2018-07-24,0,7,11.7369,temperature
2018-07-24,0,8,11.7222,temperature
2018-07-24,0,9,11.7201,temperature
2018-07-25,0,0,26.1165,temperature
2018-07-25,0,1,25.3002,temperature
2018-07-25,0,2,24.978,temperature
2018-07-25,0,3,20.4376,temperature
2018-07-25,0,4,14.448,temperature
2018-07-25,0,5,11.7698,temperature
2018-07-25,0,6,11.777,temperature
2018-07-25,0,7,11.7706,temperature
2018-07-25,0,8,11.7586,temperature
2018-07-25,0,9,11.7595,temperature
2018-07-26,0,0,26.0393,temperature
